"filename", "language", "Rust", "TOML", "Markdown", "CSV", "Properties", "YAML", "Ignore", "XML", "comment", "blank", "total"
"d:\mgr\server\bin\src\pay.rs", "Rust", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\mgr\server\bin\src\product.rs", "Rust", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\mgr\server\bin\src\user.rs", "Rust", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\mgr\server\config\Cargo.toml", "TOML", 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"d:\mgr\server\config\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"d:\mgr\server\config\src\config.rs", "Rust", 11, 0, 0, 0, 0, 0, 0, 0, 6, 7, 24
"d:\mgr\server\config\src\database.rs", "Rust", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\mgr\server\config\src\jwt.rs", "Rust", 7, 0, 0, 0, 0, 0, 0, 0, 3, 2, 12
"d:\mgr\server\config\src\kafka.rs", "Rust", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\mgr\server\config\src\lib.rs", "Rust", 73, 0, 0, 0, 0, 0, 0, 0, 8, 11, 92
"d:\mgr\server\config\src\profile.rs", "Rust", 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"d:\mgr\server\config\src\redis.rs", "Rust", 36, 0, 0, 0, 0, 0, 0, 0, 20, 7, 63
"d:\mgr\server\config\src\server.rs", "Rust", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\mgr\server\initialize\Cargo.toml", "TOML", 0, 37, 0, 0, 0, 0, 0, 0, 0, 2, 39
"d:\mgr\server\initialize\src\access_key_initialization.rs", "Rust", 7, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"d:\mgr\server\initialize\src\admin_router_initialization.rs", "Rust", 305, 0, 0, 0, 0, 0, 0, 0, 38, 34, 377
"d:\mgr\server\initialize\src\casbin_initialization.rs", "Rust", 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\mgr\server\initialize\src\config_initialization.rs", "Rust", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\mgr\server\initialize\src\db_initialization.rs", "Rust", 86, 0, 0, 0, 0, 0, 0, 0, 6, 7, 99
"d:\mgr\server\initialize\src\event_channel_initialization.rs", "Rust", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"d:\mgr\server\initialize\src\ip2region_initialization.rs", "Rust", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\mgr\server\initialize\src\jwt_initialization.rs", "Rust", 28, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"d:\mgr\server\initialize\src\lib.rs", "Rust", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"d:\mgr\server\initialize\src\log_tracing_init.rs", "Rust", 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"d:\mgr\server\initialize\src\redis_initialization.rs", "Rust", 131, 0, 0, 0, 0, 0, 0, 0, 2, 26, 159
"d:\mgr\server\initialize\src\server_initialization.rs", "Rust", 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
